Customer ID,First Name,Last Name,Sex,Phone,Email Adress,Postal Code,Bus Number,City,Country,Username,Password,Role ID,Role
0789149633385,Vincent,Van Den Broeck,Male,+32857-450704,Vincent.VanDenBroeck@gmail.com,9500,None,Grandhan,Belgium,Vincent17,"b'v\xda\x86H\x12\x82k \xaf\x84\xbf\x03\xd2{\xdb\x80\x921\xd7\xe3\x1e\xe0R\x84`\xb06\x11\xf7\x19\xd9,'",8969240059997,Client
4557812785476,Chloë,Bogaert,Female,+32851 824086,Chloë.Bogaert@icloud.com,6248,None,Courcelles,Belgium,Chloë186,"b'\xc2\xd6\x88\x99\x14\xd1\xbb\xdb\xa5K""\x12;\x97\\o\xac\x8c\x11*\xfbg\x18\x17\xf5\xba\x0c\x82\xdeW\x8e$'",9388109412059,Client
8194094848788,Théo,Fontaine,Male,(0386)-086278,Théo.Fontaine@gmail.com,5057,None,Munte,Belgium,Théo108,b'3\x07\xf50\xf9\xdf\xb1\x8f\x8c\xa77\xe3\xa7\x8e\xab\xe9\xbbr>\xf0\xedoX\xc6\xfe\xb9\xa5\xc79Fj\xd6',4650625375610,Client
2792328828899,Margot,Stevens,Female,(0605) 991909,Margot.Stevens@telenet.com,3173,None,Beveren-aan-den-Ijzer,Belgium,Margot92,b'5\xac\xc4\xb29=\xe2\x19\x13\xd4\x8f\xb9\x01)[+\xb6\xa8`1\xad\xd7(P\xe5\x7f\xea\x83\xcf\x94\xfa\xb0',6024590963876,Client
4302850405302,Nathan,Jansen,Male,041 7352415,Nathan.Jansen@gmail.com,6143,None,Ollignies,Belgium,Nathan34,"b""@W\x87\xe6\x89\xaf (\xed\xc5\x17\xa4&0\xf5\xe1\xc7:\xb5'X\xcc[\xd2\xe9\xa0\xbc\x9a\x1b`\x1e1""",3870396832145,Client
7489032188827,Laura,Verbeke,Female,(0411) 859853,Laura.Verbeke@icloud.com,3283,None,Hombeek,Belgium,Laura177,b'\xdf\xf6\xd6*\xa1\x1bz\xcb\xa2\xc6}\\E\xfe\xbay\xf3\xe0KU\x12_0\x07\x89\x10\x8d\xcf\xafd\x1eu',8310678605111,Client
6094621415886,Dylan,Dumont,Male,+32419 073390,Dylan.Dumont@gmail.com,8964,None,Sint-Maria-Horebeke,Belgium,Dylan99,"b""d\x05p?t\x85a\x8eQz:q\x848'\xa2\xf2\xdc\x8e\xca\xcf\xc1\x1d]<m\x82\x90s\x0bT\xbb""",6858188945865,Client
9165594618001,Lise,Bertrand,Female,+32(0)50-3876891,Lise.Bertrand@yahoo.com,6255,None,Recogne,Belgium,Lise104,b'\r\x9d\x11M0\xa9\xba\x832\xc8?\xffo\xc8?h\xe4\xc2\x9c\x9d\xd7\xe2\x8e{&q\x082\x8c\xf8\xaa\x84',1300510342615,Client
1604462677966,Bryan,Verschueren,Male,+32(0)241 101302,Bryan.Verschueren@telenet.com,7673,None,Kessenich,Belgium,Bryan22,b'\xd2MT~\xe8\x1d\xb1j\xc2\xf4\x8e]\xdb\x84\xf5\x9e$*\x08/X7\xf0\x87(\x18\x0e\xb6\x06Px\x8f',9062510239804,Client
4381386791676,Margot,De Ridder,Female,+3287 7820881,Margot.DeRidder@zoho.com,8888,None,Melle,Belgium,Margot200,"b""(\xc6\xc3\x98\x82\x9aL{wd\x95\xd0'{\xfe\xd28\xea\xf5L\xd3E\x81\xc0\xac\xfbQ\x1f_\x84\x1c\x0f""",8700689235794,Client
